;STATION;NAME;DATE;PRCP;SNOW;TAVG;TMAX;TMIN
66214;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-18;0.0;0.0;71.0;83.0;62.0
66215;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-19;0.0;0.0;71.0;80.0;60.0
66216;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-20;0.28;0.0;68.0;79.0;56.0
66217;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-21;0.31;0.0;67.0;73.0;57.0
66218;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-22;0.0;0.0;64.0;76.0;52.0
66219;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-23;0.0;0.0;70.0;82.0;61.0
66220;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-24;0.58;0.0;81.0;93.0;71.0
66221;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-25;1.03;0.0;80.0;89.0;71.0
66222;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-26;0.0;0.0;75.0;81.0;63.0
66223;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-27;0.0;0.0;71.0;82.0;61.0
66224;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-28;0.0;0.0;71.0;83.0;57.0
66225;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-29;0.0;0.0;71.0;81.0;58.0
66226;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-30;0.0;0.0;71.0;84.0;57.0
